no_of_parent_edges	no_of_children_edges	Exp_parent_mean	CIG_distance_parent_mean	Exp_parent_median	Exp_child_mean	Exp_child_CV	EXP	CIG_distance	label
131.0	120.0	1.958930166133772	0.2789879460184921	3.2199040945890327	2.721780553612595	1.1022083481368818	2.5476463	-0.8509862063058752	0
32.0	0.0	3.2834890152723784	1.9836618409755	4.081268573820882	0.0	0.0	2.9684203	-1.6645592653304675	0
16.0	16.0	0.0	0.6658353464500961	2.812003533238495	3.1938432043976137	0.5416994048543615	3.486785	-0.5414166667601357	0
8.0	0.0	3.999199998447271	2.381200122957332	3.742114850060597	0.0	0.0	-1.9453197	-5.79672166917674	0
78.0	86.0	0.0	-0.3766115837622648	2.844386958142712	0.0	0.0	3.0271473	-3.560706883303401	0
105.0	43.0	3.714854593536583	0.2715020185030929	4.182725820027354	4.700589579876657	0.4331028538530305	5.2646093	-2.5731712046575823	0
195.0	72.0	1.691543312290727	-1.363128877279579	2.846244257853602	2.521551610634265	1.1834058038203272	0.22057682	-2.8111449837612974	0
5.0	0.0	-7.865144668614496	2.198403294263911	-11.111586112634924	0.0	0.0	-8.030065	0.0	0
37.0	24.0	1.7333114941061647	-1.7564988974174036	2.426802694462973	1.1279717629115138	2.044683164821892	-0.7356868	-5.980182054169746	0
74.0	51.0	3.398081419224987	-0.593938563241091	3.661248412371862	3.2769047066598125	0.4993844708061428	1.3567797	-2.9496583145363986	0
4.0	0.0	3.732746698960905	2.215671518333251	6.061121598401592	0.0	0.0	2.472555	-0.5808848680842327	0
133.0	139.0	2.209901181414617	0.1620316922079727	2.713274931136488	2.4480209171706755	0.7763300679920923	2.5017729	-2.043253586170468	0
102.0	115.0	1.867269141247779	-0.327644520528739	2.253233202196252	1.2997648860028743	2.211351405238247	2.5447164	-2.191223244420818	0
61.0	21.0	1.5609250264943966	-1.3141927817880044	2.5647780166834733	2.638029458009274	0.4367053199560864	1.0063999	-1.1414222190005812	0
193.0	105.0	1.8596223795541973	-1.193722944876944	2.426802694462973	2.216830730916613	1.2139974771202136	1.8953384	-4.351140147184692	0
147.0	94.0	0.0	0.2464337658563862	3.372296625682465	3.721928225598149	0.3354074866749258	4.569319340150104	-2.60678101984992	0
61.0	11.0	0.0	2.0029361135424635	1.3824210979281746	-2.635385975655176	-1.0717643851623182	-6.315463232441689	1.8028668288461185	0
176.0	1.0	0.0	2.005851931411878	1.1904003406234218	1.7633035927963658	0.0	1.0957105945431709	1.4202241546772154	0
60.0	575.0	0.0	2.2896596690213404	0.7841876989362101	0.0	0.0	-3.284459140286172	-0.2723160378933008	0
49.0	0.0	0.0	1.7611958820505091	-0.6277881705211582	0.0	0.0	-1.458845798348099	-5.355077716946267	0
178.0	17.0	0.0	1.9061299448062727	2.2551064528497005	1.846841580715169	1.1275010254370177	-0.6885253892583318	6.6354775883272055	0
